"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL308542";"";"None";"431.45";"1";"5.42";"3x";"O=C1NC(=O)c2c1c1c(ccc3cc[nH]c31)c1[nH]c3cc(OCc4ccccc4)ccc3c21";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL306501";"";"None";"537.62";"1";"3.92";"12b";"COc1ccc2c3c4c(c5c(ccc6ccn(C)c65)c3n(CCCN3CCC(C(N)=O)CC3)c2c1)C(=O)NC4=O";"IC50";"'='";"3380.0";"nM";"5.47";"";"";"UO_0000065";"10.18";"0.19";"1.55";"4.90";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL49354";"";"None";"550.52";"2";"2.15";"(+/-)-syn-1";"O=C(NC1CNCCCC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1";"IC50";"'='";"790.0";"nM";"6.10";"";"";"UO_0000065";"11.08";"0.21";"3.95";"3.01";"0";"CHEMBL769032";"Inhibition of cAMP-dependent protein kinase (Protein kinase A)";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1129020";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";""
"CHEMBL177308";"";"None";"569.52";"2";"3.69";"(+/-)-4 anti";"O=C(N[C@@H]1c2ccccc2CC1OC(=O)c1cc(O)c(C(=O)c2c(O)cccc2C(=O)O)c(O)c1)c1ccc(O)cc1";"IC50";"'='";"50000.0";"nM";"4.30";"";"";"UO_0000065";"7.55";"0.14";"0.61";"2.26";"0";"CHEMBL757141";"Inhibition of cAMP-dependent protein kinase (PKA)";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1129020";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";""
"CHEMBL226850";"";"None";"413.40";"0";"3.99";"37a";"N[C@H](COc1cncc(-c2cc3cn[nH]c3cn2)c1)Cc1cccc(C(F)(F)F)c1";"IC50";"'='";"78.0";"nM";"7.11";"";"";"UO_0000065";"17.19";"0.32";"3.12";"7.92";"0";"CHEMBL889249";"Inhibition of PKA";"B";"BAO_0000224";"protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1145373";"1";"Scientific Literature";"J Med Chem";"2007";"None";"";""
"CHEMBL307007";"";"None";"353.38";"0";"4.33";"3c";"CCn1ccc2ccc3c4[nH]c5ccccc5c4c4c(c3c21)C(=O)NC4=O";"IC50";"'>'";"2000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL772600";"Inhibitory activity against Protein kinase A (Histone)";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1136094";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";""
"CHEMBL21215";"";"None";"291.36";"0";"3.63";"11";"CNc1ccc(C)c(Nc2nccc(-c3cccnc3)n2)c1";"IC50";"'>'";"500000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL757145";"Inhibition of serine/threonine kinase(PKA)";"B";"BAO_0000224";"protein format";"Oryctolagus cuniculus";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1159186";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1996";"None";"";""
"CHEMBL338449";"";"None";"566.66";"2";"6.00";"19";"CO[C@H]1[C@@H](N(C)C(=O)OC(C)(C)C)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'='";"28000.0";"nM";"4.55";"";"";"UO_0000065";"8.03";"0.15";"-1.45";"5.24";"0";"CHEMBL768001";"Inhibitory activity against cAMP-dependent protein kinase A was determined";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1127758";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";""
"CHEMBL130163";"";"None";"508.58";"1";"4.61";"11";"CO[C@H]1[C@@H](N(C)C(C)=O)C[C@@H]2O[C@@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"11.45";"0.21";"1.21";"7.49";"0";"CHEMBL768001";"Inhibitory activity against cAMP-dependent protein kinase A was determined";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1127758";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";""
"CHEMBL130049";"";"None";"524.58";"1";"4.83";"12";"COC(=O)N(C)[C@H]1C[C@@H]2O[C@](C)([C@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4";"IC50";"'='";"480.0";"nM";"6.32";"";"";"UO_0000065";"12.05";"0.22";"1.49";"7.27";"0";"CHEMBL768001";"Inhibitory activity against cAMP-dependent protein kinase A was determined";"B";"BAO_0000224";"protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL2094138";"cAMP-dependent protein kinase (PKA)";"Homo sapiens";"PROTEIN FAMILY";"CHEMBL1127758";"1";"Scientific Literature";"Bioorg Med Chem Lett";"1994";"None";"";""
